公司,营业利润率,速动比率,无形资产占比,研发投入增长率,资产负债率,流动比率,毛利率,应收账款周转率,总资产周转率,研发费用占比,存货周转率,资本支出占比,净利率,ROA,营业利润增长率,风险等级
万丰奥威,0.0883461269594331,1.06478712634116,0.0875339303705736,0.0849759710344055,0.468060863989785,1.44440396724041,0.199049285211588,4.90999694276188,0.8870484508915,0.0254710953848564,5.38327980115459,0.0624480694684715,0.077942927036496,0.0678479428816407,0.0924331347789294,3
上工申贝,0.0352173451456121,1.51851439179363,0.0439579338749875,0.0888070512096098,0.418099018660252,2.17203659027825,0.236189349391537,5.80647460883516,0.702100332499817,0.0312340912744461,2.76077469330789,0.044316530226075,0.0237568353036808,0.0150417199634584,-0.297659256951971,3
东软集团,0.040424836132839,1.07177781803417,0.0465643691042023,0.053104592247392,0.42942163393987,1.57995455110608,0.261811512549423,6.04758459196548,0.560342105231676,0.0925588676395333,2.56446604143773,0.052617512640056,0.037298111658152,0.00892081100421547,-3.40334922312322,3
中信海直,0.135300714113315,3.07620919920723,0.015001975564059,-0.0494673507036643,0.320862651189182,3.46973730997618,0.23216860320895,3.77112652720927,0.280709004336495,0.00608686692906464,4.4159185910577,0.136331980158009,0.116313759697627,0.0341834568394704,2.95321031047583,2
中国卫星,0.0457866145228725,1.64199292362505,0.0663201789756641,0.122339321089802,0.386772283592246,2.06489634893688,0.12438699663647,3.35182068450226,0.576045344421595,0.0178785585782587,3.51597080419682,0.0382806795007908,0.043313523844237,0.0255622117930372,-0.377185186400961,3
中直股份,0.0340279085323277,0.627678590996548,0.0219281821563252,0.223634239770631,0.662764646320636,1.3916395230446,0.124083475597102,5.89543566400786,0.659473806641892,0.0292382586795475,1.28475405740416,0.0145128953194102,0.0305379808778499,0.0199285578201035,0.0815894374117247,3
中科星图,0.171709765442954,1.99035254122399,0.0273931544987609,0.564631058334684,0.475953944564635,2.23133385925836,0.508633749498286,2.00022880913815,0.729149084792319,0.141334383452946,3.59560327297334,0.0960246470012222,0.176362181365181,0.146131976618759,1.16325134146237,2
中航沈飞,0.0594712097214455,0.815769632288252,0.0290800629435449,0.335036609251757,0.720272430200396,1.19390387107255,0.10211792578202,7.83166156860856,0.757967321393632,0.0136727903991544,2.86285740499457,0.0416068120751138,0.0524857465357249,0.0410823256520591,0.253964522725874,3
中航高科,0.183697959101016,1.9427535933174,0.06020028231578,0.207311324047596,0.349850039638773,2.6712121109311,0.317261949036085,2.97489632568134,0.48687455025016,0.0306585301612175,1.72467740310933,0.0521448307456316,0.154454697762048,0.0845591988712132,0.580045479790544,2
信质集团,0.0938743410889619,1.23343250169975,0.036709249720292,0.122976162566397,0.503510238806313,1.49333027508382,0.183458706595635,4.91639597275299,0.639549723573759,0.0306282686960804,4.79518346744398,0.0926537355783507,0.0814787639465029,0.0513132577652044,0.229158172092582,3
光洋股份,-0.0177732103760224,1.20485635728425,0.0462159806752544,0.0928341267056729,0.41890689873228,1.59184231991586,0.177360560046027,3.60736207884096,0.623417810177187,0.0353595601846535,3.87242537655296,0.0790461767976654,-0.0125602449693208,-0.0109529830332875,-1.09793624047538,3
北方导航,0.0582415430421107,1.39350915219461,0.0502090338720146,0.135317060847513,0.483958200015876,1.60891017375278,0.23000003733171,2.00672702935087,0.506375277810848,0.050815857577192,4.16676650203127,0.0305304091588296,0.0553666444839628,0.0278449172113236,0.0538258933984002,3
博云新材,-0.0798973070780911,1.67150806379327,0.0883856907635369,0.242594421502841,0.285534397347976,2.40970609049727,0.256040682414204,2.67796291483593,0.223185139770517,0.0637657248778673,1.00522329551696,0.277291465335662,-0.0692455272120293,-0.00515682713584016,-1.49305794105816,2
卧龙电驱,0.0734146036663741,0.917201120549936,0.069813739244351,0.14931821831357,0.600822951556445,1.22889815344215,0.242300787466852,3.51743830428735,0.629614149603402,0.0303682393449103,3.49350383508932,0.0666167500013297,0.0611801851859434,0.0404841064648935,0.250445153096763,3
四创电子,-0.0210840128417638,0.859163573567306,0.0436913389640143,0.172565613756746,0.668165751379901,1.17956085496119,0.162038644143274,2.2995539344438,0.518400511288709,0.0225153428972222,2.51559108717479,0.0484565153327951,-0.0226564514479022,0.0032194828981506,-0.845473665368335,3
安达维尔,0.0872366051135526,3.02296786366532,0.0128604748662894,0.111886234600484,0.276602921560688,3.71145578723237,0.477682248166818,1.0455671844176,0.431742202136334,0.111369050508957,1.42233488053768,0.0521206366909015,0.0886323243803668,0.0373038766370156,-2.52661881836669,2
宗申动力,0.0755716232970364,1.53071676704167,0.0267460953192853,0.144709888587383,0.451192757572842,1.77303225179404,0.15479337943906,6.45735427695566,0.835335609780312,0.0235671292485874,9.14364373477682,0.0337688309605888,0.0669372661136469,0.0522939251925795,0.0790703705156018,2
川大智胜,-0.161097032473278,2.78057179600836,0.127823094827792,1.22210808281325,0.191139938449054,3.7600705884964,0.258593740769865,1.80083333735711,0.173751261847898,0.131943558566438,1.25398440003726,0.319415465243403,-0.1436197880534,-0.0196298721484706,0.0191372530549136,1
晨光股份,0.0957381445684625,1.57517056328969,0.0343266843432719,0.0824722543790619,0.404740574356041,1.98167717192355,0.22911793048914,10.505953913223,1.6048261408339,0.00996360037452119,9.24489529572457,0.0292457464877596,0.0826978055732296,0.129859978031121,0.147662571800967,2
普天科技,0.0187581318149584,1.22583469289985,0.0206159001484118,0.0064264959830447,0.631034948259553,1.46532106913505,0.171591060645024,1.94323114995289,0.73153602775869,0.0433163923229997,4.27159301550273,0.0241079732451783,0.0167579747044931,0.0116976740725265,0.244593951241835,3
